order_id,customer_id,customer_name,age,gender,city,state,product_id,product_name,category,price,quantity,discount_percent,sales,profit,payment_method,order_date,delivery_date,order_status
ORD0001,CUST053,Vivaan Reddy,61,Female,Kolkata,West Bengal,PRD002,Notebook,Books,286.5,4,0,1145.99,229.06,COD,27-09-2024,10-02-2024,Cancelled
ORD0002,CUST131,Rohan Singh,24,Male,New Delhi,Delhi,PRD039,Data Science Book,Books,259.66,3,10,701.09,240.33,Credit Card,22-01-2024,,Delivered
ORD0003,CUST002,Kabir Kumar,59,Female,New Delhi,Delhi,PRD063,Data Science Book,Books,1313.67,1,5,1247.98,255.69,Credit Card,11-12-2024,,Delivered
ORD0004,CUST154,Rahul Nair,46,Female,Hyderabad,Telangana,PRD065,Jeans,Clothing,4207.89,5,10,18935.49,5232.96,COD,26-09-2024,10-01-2024,Pending
ORD0005,CUST072,Sneha Verma,50,Male,New Delhi,Delhi,PRD023,Smartwatch,Electronics,74867.84,2,15,149735.67,43593.22,Wallet,09-10-2025,10-10-2025,Cancelled
ORD0006,CUST042,Rahul Singh,49,Female,Bangalore,Karnataka,PRD052,Novel,Electronics,1469.0,3,15,3745.95,388.99,Net Banking,30-06-2025,07-04-2025,Delivered
ORD0007,CUST028,Sneha Patel,47,Female,Chennai,Tamil Nadu,PRD062,Hair Oil,Beauty,4662.55,5,10,20981.47,-726.74,UPI,16-10-2025,,Delivered
ORD0008,CUST118,Ananya Patel,29,Male,New Delhi,Delhi,PRD002,Mixer,Home & Kitchen,13678.37,2,10,24621.07,8012.96,Debit Card,19-09-2025,,Delivered
ORD0009,CUST198,Arjun Mehta,28,Male,Pune,Maharashtra,PRD017,Laptop,Electronics,49219.68,2,15,83673.46,9417.18,Wallet,29-11-2025,12-03-2025,Cancelled
ORD0010,CUST147,Ishaan Patel,58,Female,Hyderabad,Telangana,PRD039,Jacket,Clothing,2585.07,3,5,7367.45,1663.53,Credit Card,25-05-2025,,Delivered
ORD0011,CUST048,Sneha Gupta,54,Female,Bangalore,Karnataka,PRD009,Python Book,Books,561.14,4,15,1907.89,45.78,UPI,17-04-2025,,Delivered
ORD0012,CUST153,Pooja Verma,19,Female,Mumbai,Karnataka,PRD080,Cookware,Home & Kitchen,23435.93,3,10,63277.01,20518.04,Net Banking,31-05-2024,06-03-2024,Delivered
ORD0013,CUST022,Riya Kumar,55,Male,Hyderabad,Telangana,PRD054,Smartwatch,Electronics,69212.3,4,15,235321.8,45563.72,Debit Card,01-02-2025,02-04-2025,Delivered
ORD0014,CUST046,Kabir Singh,58,Female,Mumbai,Maharashtra,PRD046,Face Wash,Beauty,3889.06,1,30,2722.34,332.33,Net Banking,10-10-2024,,Returned
ORD0015,CUST114,Kunal Kumar,40,Male,Bangalore,Karnataka,PRD027,Python Book,Books,548.31,2,30,767.63,-38.17,Credit Card,,,Delivered
ORD0016,CUST036,Rahul Patel,18,Male,Mumbai,Maharashtra,PRD016,Laptop,Electronics,37478.27,5,0,187391.37,-14573.52,Wallet,27-01-2025,02-01-2025,Delivered
ORD0017,CUST054,Priya Gupta,50,Female,Bangalore,Karnataka,PRD060,Data Science Book,Books,2121.49,1,0,2121.49,580.69,COD,27-12-2025,01-01-2026,Delivered
ORD0018,CUST058,Rohan Das,40,Male,Pune,Maharashtra,PRD012,Notebook,Books,1363.31,1,10,1226.98,130.57,Net Banking,15-12-2024,,Delivered
