order_id,customer_id,customer_name,age,gender,city,state,product_id,product_name,category,price,quantity,discount_percent,sales,profit,payment_method,order_date,delivery_date,order_status
ORD0001,CUST053,Vivaan Reddy,61.0,Female,Kolkata,West Bengal,PRD002,Notebook,Books,286.5,4,0.0,1145.99,229.06,Cash on Delivery,2024-09-27,2024-10-02,Cancelled
ORD0002,CUST131,Rohan Singh,24.0,Male,Delhi,Delhi,PRD039,Data Science Book,Books,259.66,3,10.0,701.09,240.33,Credit Card,2024-01-22,2024-01-23,Delivered
ORD0003,CUST002,Kabir Kumar,59.0,Female,Delhi,Delhi,PRD063,Data Science Book,Books,1313.67,1,5.0,1247.98,255.69,Credit Card,2024-12-11,2024-12-13,Delivered
ORD0004,CUST154,Rahul Nair,46.0,Female,Hyderabad,Telangana,PRD065,Jeans,Clothing,4207.89,5,10.0,18935.49,5232.96,COD,2024-09-26,2024-10-01,Pending
ORD0005,CUST072,Sneha Verma,50.0,Male,Delhi,Delhi,PRD023,Smartwatch,Electronics,74867.84,2,NA,149735.67,43593.22,Wallet,2025-10-09,2025-10-10,Cancelled
ORD0006,CUST042,Rahul Singh,49.0,Female,bengaluru,Karnataka,PRD052,Novel,electronics,1469.0,3,15.0,"₹3,745.95",388.99,Net Banking,2025-06-30,2025-07-04,Delivered
ORD0007,CUST028,Sneha Patel,47.0,Female,Chennai,Tamil Nadu,PRD062,Hair Oil,Beauty,4662.55,5,10.0,20981.47,₹-726.74,UPI,2025-10-16,2025-10-21,Delivered
ORD0008,CUST118,Ananya Patel,29.0,Male,Delhi,Delhi,PRD002,Mixer,Home & Kitchen,13678.37,2,10.0,24621.07,8012.96,Debit Card,2025-09-19,2025-09-22,Delivered
ORD0009,CUST198,Arjun Mehta,28.0,Male,Pune,Maharashtra,PRD017,Laptop,Electronics,49219.68,2,15.0,83673.46,9417.18,Wallet,2025-11-29,2025-12-03,Cancelled
ORD0010,CUST147,Ishaan Patel,58.0,Female,Hyderabad,Telangana,PRD039,Jacket,Clothing,2585.07,3,5.0,7367.45,1663.53,Credit Card,2025-05-25,2025-05-27,Delivered
ORD0011,CUST048,Sneha Gupta,54.0,Female,Bengaluru,Karnataka,PRD009,Python Book,Books,561.14,4,15.0,1907.89,45.78,UPI,2025-04-17,2025-04-19,Delivered
ORD0012,CUST153,Pooja Verma,19.0,Female,Mumbai,Karnataka,PRD080,Cookware,Home & Kitchen,23435.93,3,10.0,63277.01,20518.04,Net Banking,2024-05-31,2024-06-03,Delivered
ORD0013,CUST022,Riya Kumar,55.0,Male,Hyderabad,Telangana,PRD054,Smartwatch,electronics,69212.3,4,15.0,235321.8,45563.72,Debit Card,2025-02-01,2025-02-04,Delivered
ORD0014,CUST046,Kabir Singh,58.0,Female,Mumbai,Maharashtra,PRD046,Face Wash,Beauty,3889.06,1,30.0,2722.34,332.33,Net Banking,2024-10-10,2024-10-15,return
ORD0015,CUST114,Kunal Kumar,40.0,Male,Bengaluru,Karnataka,PRD027,Python Book,Books,548.31,2,30.0,767.63,-38.17,Credit Card,2025/13/40,2024-04-28,Delivered
ORD0016,CUST036,Rahul Patel,18.0,Male,Mumbai,Maharashtra,PRD016,Laptop,Electronics,37478.27,5,0.0,187391.37,-14573.52,Wallet,2025-01-27,2025-02-01,Delivered 
